fromISO;toISO;lastYear
SUN;ARM;y1991
SUN;AZE;y1991
SUN;BLR;y1991
SUN;EST;y1991
SUN;GEO;y1991
SUN;KAZ;y1991
SUN;KGZ;y1991
SUN;LVA;y1991
SUN;LTU;y1991
SUN;MDA;y1991
SUN;RUS;y1991
SUN;TJK;y1991
SUN;TKM;y1991
SUN;UKR;y1991
SUN;UZB;y1991
CSK;CZE;y1992
CSK;SVK;y1992
ANT;SXM;y2010
ANT;CUW;y2010
ANT;BES;y2010
ANT;ABW;y1985
ANT;ANT;y1985
SCG;SRB;y2005
SCG;MNE;y2005
YUG;SCG;y1991
YUG;SVN;y1991
YUG;HRV;y1991
YUG;MKD;y1991
YUG;BIH;y1991
XAA;XAB;y1995
XBB;XAB;y1995
GDR;DEU;y1990
BRG;DEU;y1990
XDE;GDR;y1944
XDE;BRG;y1944
